gesture_index,method,target_element,gesture_type,start_x,start_y,end_x,end_y,timestamp_ms,duration_ms,avg_pressure,max_pressure,touch_major,touch_minor,avg_size,max_speed_x,max_speed_y,max_speed,total_distance,max_acceleration,avg_curvature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z,linear_x,linear_y,linear_z,mag_x,mag_y,mag_z,pointer_count,trajectory_points
50,"test2","",SWIPE,604.00,1202.00,608.00,760.00,1784892913743,95,0.4188,0.7165,315.00,146.00,0.0815,1008.42,16436.90,16467.80,514.18,9478328.00,0.00112898,-0.1400,2.3222,10.1186,-0.272446,-0.085674,-0.099113,-0.5013,2.4615,9.4829,0.3692,-0.1336,0.6347,-17.4948,18.3976,-22.5456,1,27
49,"test2","",SWIPE,615.00,1257.00,643.00,571.00,1784892913308,110,0.4866,0.6929,281.00,160.00,0.0878,4410.94,11282.05,12113.67,763.71,13606065.00,0.00477443,0.1842,1.5643,11.7464,-0.345902,-0.203571,-0.187841,-0.4410,2.3215,9.5211,0.6336,-0.7512,2.2242,-17.5436,18.5684,-21.5452,1,30
48,"test2","",SWIPE,576.00,1075.00,656.00,449.00,1784892912969,79,0.5276,0.7087,291.00,156.00,0.0927,3882.07,13241.82,13799.14,640.14,4531142.50,0.01119546,0.1645,1.8168,11.0853,-0.329256,-0.136223,-0.007941,-0.4468,2.4012,9.5011,0.6202,-0.5782,1.5831,-17.9950,18.5074,-21.9844,1,21
47,"test2","",SWIPE,607.00,1204.00,631.00,559.00,1784892912622,111,0.4693,0.6693,279.00,154.00,0.0866,3325.02,12252.59,12695.74,658.33,5598067.50,0.06537125,-0.3224,1.7611,11.6016,-0.326507,-0.180053,-0.197920,-0.4758,2.3575,9.5106,0.1626,-0.5897,2.0898,-17.7754,19.2882,-23.8754,1,30
46,"test2","",SWIPE,555.00,969.00,763.00,223.00,1784892912264,89,0.5924,0.7559,319.00,156.00,0.0994,4523.03,4506.06,6384.54,787.82,4042311.00,0.00394164,-0.2495,1.8897,11.4832,-0.118813,-0.160658,-0.057879,-0.5283,2.3685,9.5051,0.2886,-0.4717,1.9768,-17.6534,17.9706,-21.0938,1,25
45,"test2","",SWIPE,560.00,1173.00,675.00,438.00,1784892911996,100,0.5284,0.7402,304.00,156.00,0.0926,5305.86,10183.95,11483.25,763.35,3625239.50,0.03371656,-0.2596,2.1553,9.9990,-0.240528,-0.157298,-0.076816,-0.5636,2.4772,9.4753,0.3142,-0.3145,0.5224,-17.8120,18.4342,-23.6070,1,27
44,"test2","",SWIPE,559.00,1140.00,681.00,383.00,1784892911545,111,0.5375,0.8268,332.00,160.00,0.0928,5406.34,12656.06,13762.42,783.48,2982879.25,0.01278939,0.0634,1.8598,11.1942,-0.434478,-0.185856,-0.040470,-0.5235,2.4357,9.4884,0.5977,-0.5681,1.7044,-17.4094,18.1048,-22.0210,1,30
43,"test2","",SWIPE,556.00,1219.00,612.00,532.00,1784892911254,105,0.4705,0.7087,296.00,154.00,0.0869,4407.79,16267.70,16854.28,705.87,3258124.00,0.03270715,-0.2883,2.0560,10.8030,-0.340099,-0.116981,-0.117286,-0.5478,2.5023,9.4697,0.2708,-0.4381,1.3318,-17.3850,17.8608,-21.1548,1,28
42,"test2","",SWIPE,571.00,1084.00,722.00,262.00,1784892910849,105,0.5566,0.7480,302.00,159.00,0.0950,6545.44,12599.08,14197.87,871.46,4795346.00,0.02099013,-0.0778,2.0076,10.7988,-0.454789,-0.193644,-0.036652,-0.5000,2.5166,9.4685,0.4344,-0.5004,1.3287,-17.5436,17.8974,-20.7766,1,29
41,"test2","",SWIPE,529.00,1117.00,627.00,506.00,1784892910610,88,0.5184,0.7323,296.00,158.00,0.0913,4642.63,12434.47,13272.91,658.48,7687201.00,0.02746546,-0.0574,2.0794,10.6421,-0.379195,-0.112399,-0.060323,-0.5009,2.5442,9.4611,0.4561,-0.4559,1.1793,-17.9340,18.2024,-23.6558,1,24
