gesture_index,method,target_element,gesture_type,start_x,start_y,end_x,end_y,timestamp_ms,duration_ms,avg_pressure,max_pressure,touch_major,touch_minor,avg_size,max_speed_x,max_speed_y,max_speed,total_distance,max_acceleration,avg_curvature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z,linear_x,linear_y,linear_z,mag_x,mag_y,mag_z,pointer_count,trajectory_points
33,"test3","",SWIPE,456.40,857.20,177.40,363.20,1784893210171,1069,0.9444,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,568.96,7356.42,0.00170272,0.1232,3.3505,9.2100,0.026420,0.001833,-0.001374,-0.0303,3.4750,9.1738,0.1535,-0.1245,0.0361,-14.7498,16.5188,-18.2146,1,18
32,"test3","",SWIPE,733.40,760.20,463.40,237.20,1784893207711,1066,0.9444,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,588.58,7836.36,0.00002585,0.1436,3.4319,9.0676,-0.018021,0.001527,-0.032681,-0.0254,3.4869,9.1694,0.1690,-0.0550,-0.1017,-14.9450,17.3240,-19.8494,1,18
31,"test3","",SWIPE,517.40,909.20,678.40,316.20,1784893205358,1316,0.9545,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,615.38,10027.82,0.00318967,0.0305,3.2465,9.4810,0.016493,0.015424,-0.006720,-0.0653,3.4339,9.1891,0.0958,-0.1874,0.2918,-15.1524,16.4334,-19.1540,1,22
30,"test3","",SWIPE,379.40,938.20,484.40,382.20,1784893202939,1204,0.9500,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,568.63,7504.33,0.05385586,0.0132,3.3840,9.2285,0.006414,0.007483,0.001374,-0.0594,3.4829,9.1707,0.0726,-0.0989,0.0578,-15.6404,16.7262,-19.9958,1,20
29,"test3","",SWIPE,641.40,776.20,146.40,543.20,1784893201026,1012,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,556.39,19863.89,0.00129125,-0.1974,3.3607,9.1514,0.036805,-0.016493,-0.014813,-0.1011,3.4069,9.1988,-0.0963,-0.0462,-0.0475,-15.4818,16.5554,-20.3496,1,17
28,"test3","",SWIPE,707.40,821.20,497.40,251.20,1784893198665,1091,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,607.66,7977.93,0.00045506,-0.1884,3.4277,9.2662,-0.019700,-0.001527,0.003665,-0.0694,3.4483,9.1837,-0.1190,-0.0206,0.0825,-14.7742,16.7018,-18.3732,1,19
27,"test3","",SWIPE,361.40,752.20,776.40,449.20,1784893196562,1023,0.9375,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,518.36,11988.21,0.00047867,-0.0526,3.4319,9.0431,0.026573,-0.003971,0.018479,-0.0616,3.4823,9.1709,0.0090,-0.0504,-0.1278,-15.7136,16.5798,-20.4228,1,16
26,"test3","",SWIPE,645.40,747.20,451.40,194.20,1784893194097,1148,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,586.12,11092.17,0.00025449,-0.0209,3.3464,9.2524,0.013439,0.016493,0.002443,-0.0739,3.4346,9.1888,0.0529,-0.0882,0.0636,-15.6648,15.5184,-18.0072,1,19
25,"test3","",SWIPE,589.40,731.20,387.40,220.20,1784893191812,1080,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,573.94,10253.67,0.03170962,0.1316,3.2554,9.4241,-0.017562,0.009774,0.019700,-0.0533,3.4527,9.1822,0.1849,-0.1973,0.2420,-16.1162,16.0308,-19.7518,1,19
24,"test3","",SWIPE,276.40,733.20,571.40,297.20,1784893189709,1081,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,526.47,17120.92,0.00023323,-0.0203,3.3703,9.1669,-0.014661,-0.001374,-0.029627,-0.0804,3.4784,9.1723,0.0601,-0.1081,-0.0054,-14.7742,17.2630,-19.1418,1,17
23,"test3","",SWIPE,614.40,832.20,313.40,361.20,1784893187842,955,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,569.15,12996.81,0.00035907,-0.1119,3.3320,9.2046,-0.008705,0.004429,-0.011454,-0.1192,3.4233,9.1926,0.0074,-0.0912,0.0120,-15.1646,17.2142,-18.5806,1,17
22,"test3","",SWIPE,288.38,834.10,669.38,437.10,1784893185668,1204,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,551.15,10635.98,0.04087150,-0.1926,3.2943,9.1609,0.001833,0.008858,0.002596,-0.1282,3.3789,9.2088,-0.0644,-0.0846,-0.0479,-15.0792,17.3240,-19.1296,1,19
21,"test3","",SWIPE,686.66,860.97,275.66,408.97,1784893183625,1145,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,611.22,7975.82,0.00036225,0.0239,3.3601,8.9958,-0.007025,0.077427,0.036194,-0.1538,3.4220,9.1925,0.1777,-0.0618,-0.1967,-15.2500,17.3118,-19.3858,1,19
