gesture_index,method,target_element,gesture_type,start_x,start_y,end_x,end_y,timestamp_ms,duration_ms,avg_pressure,max_pressure,touch_major,touch_minor,avg_size,max_speed_x,max_speed_y,max_speed,total_distance,max_acceleration,avg_curvature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z,linear_x,linear_y,linear_z,mag_x,mag_y,mag_z,pointer_count,trajectory_points
50,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893557708,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0556,0.1848,9.7508,0.000458,0.000153,0.000458,-0.0511,0.2013,9.8078,-0.0045,-0.0164,-0.0570,-14.3106,23.1800,-3.6966,1,4
49,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893554413,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0556,0.1944,9.7555,-0.000458,-0.000611,-0.000153,-0.0515,0.2001,9.8078,-0.0041,-0.0057,-0.0523,-14.1642,23.6558,-2.4644,1,4
48,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893551135,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0556,0.1896,9.7555,-0.000000,-0.000305,-0.000305,-0.0495,0.2006,9.8078,-0.0061,-0.0110,-0.0523,-13.4810,23.8022,-0.9150,1,4
47,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893547853,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0604,0.1848,9.7364,-0.000153,0.000611,0.000305,-0.0473,0.2039,9.8078,-0.0131,-0.0191,-0.0714,-14.6888,23.4606,-2.4400,1,4
46,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893544556,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0461,0.1992,9.7555,0.000153,-0.001222,-0.000305,-0.0409,0.2028,9.8078,-0.0051,-0.0036,-0.0523,-14.3472,25.8396,-3.4526,1,4
45,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893541269,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0796,0.1896,9.7555,0.000153,0.000611,0.000764,-0.0731,0.1861,9.8080,-0.0065,0.0035,-0.0524,1.3054,19.1174,5.6852,1,4
44,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893537976,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0748,0.1848,9.7555,-0.000305,0.000458,-0.000305,-0.0769,0.1861,9.8079,0.0021,-0.0013,-0.0524,0.0000,18.9466,4.7336,1,4
43,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893534684,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0748,0.1896,9.7508,0.000305,-0.001222,-0.000153,-0.0758,0.1857,9.8079,0.0010,0.0039,-0.0572,-0.5368,18.0682,3.2818,1,4
42,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893531389,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0748,0.1896,9.7508,-0.000153,-0.000153,-0.000611,-0.0748,0.1865,9.8079,0.0000,0.0032,-0.0572,0.0122,19.4102,3.1232,1,4
41,"test4","",SWIPE,325.00,1131.00,418.00,637.00,1784893528091,156,1.0000,1.0000,0.00,0.00,1.0000,0.00,0.00,0.00,514.27,14512.55,0.00032747,-0.0652,0.1848,9.7603,-0.000305,-0.000764,-0.000916,-0.0749,0.1865,9.8079,0.0097,-0.0017,-0.0476,-0.4636,18.4586,3.4282,1,4
