gesture_index,method,target_element,gesture_type,start_x,start_y,end_x,end_y,timestamp_ms,duration_ms,avg_pressure,max_pressure,touch_major,touch_minor,avg_size,max_speed_x,max_speed_y,max_speed,total_distance,max_acceleration,avg_curvature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z,linear_x,linear_y,linear_z,mag_x,mag_y,mag_z,pointer_count,trajectory_points
54,"","",SWIPE,675.00,1062.00,758.00,534.00,1784892876194,106,0.4323,0.8504,321.00,170.00,0.0824,4629.16,15390.78,16071.88,554.81,3167763.25,0.10704396,-0.4092,3.9320,7.3101,-0.718836,0.077885,-0.018479,-0.2673,4.5133,8.7060,-0.1419,-0.5812,-1.3960,-16.5066,13.2126,-24.7782,1,29
53,"","",SWIPE,668.00,1053.00,707.00,610.00,1784892875819,69,0.4729,0.6850,299.00,149.00,0.0880,3206.04,15846.46,16167.53,486.95,19013918.00,0.03682865,-0.7172,4.5763,7.0337,-0.456316,0.341168,0.309098,-0.3993,4.5068,8.7043,-0.3180,0.0694,-1.6706,-16.6408,13.5054,-25.7908,1,18
52,"","",SWIPE,657.00,987.00,739.00,561.00,1784892875370,85,0.4372,0.7638,290.00,169.00,0.0828,4172.71,14876.17,15450.31,490.91,11828069.00,0.00330953,-0.7161,4.4148,7.5284,-0.164628,-0.026267,0.034972,-0.2877,4.7243,8.5927,-0.4283,-0.3095,-1.0643,-17.8730,11.5046,-28.5724,1,23
51,"","",SWIPE,699.00,1089.00,706.00,609.00,1784892875085,90,0.3898,0.6850,279.00,159.00,0.0785,1369.21,14875.46,14938.34,496.27,3099558.00,0.31540003,-1.0409,3.6616,7.0301,-0.380874,0.273668,0.451735,-0.5782,4.7489,8.5644,-0.4626,-1.0873,-1.5343,-16.7506,12.3586,-25.9494,1,24
50,"","",SWIPE,614.00,984.00,734.00,550.00,1784892874679,90,0.4587,0.7008,253.00,178.00,0.0844,5197.79,10854.95,12035.24,463.72,5084154.50,0.01367020,-0.6012,4.6433,7.6863,-0.547183,0.244346,0.258091,-0.3680,4.6703,8.6191,-0.2332,-0.0270,-0.9328,-16.6774,12.6026,-25.1564,1,24
49,"","",SWIPE,578.00,1010.00,599.00,694.00,1784892874379,95,0.3833,0.6614,273.00,161.00,0.0769,788.07,12142.80,12168.34,318.30,17855548.00,0.06916510,-0.8201,4.1097,7.2036,-0.473421,0.591470,0.483653,-0.5300,4.2594,8.8211,-0.2902,-0.1497,-1.6176,-16.2382,13.0906,-25.9738,1,25
48,"","",SWIPE,598.00,976.00,777.00,516.00,1784892873928,101,0.4477,0.8268,297.00,179.00,0.0829,7572.88,12824.50,14893.49,513.52,8040268.50,0.03065639,-0.7412,4.4016,8.6178,-0.612851,-0.148440,0.265116,-0.6275,4.2222,8.8326,-0.1137,0.1794,-0.2149,-16.4944,12.5904,-25.0710,1,27
47,"","",SWIPE,695.00,1061.00,619.00,724.00,1784892873618,106,0.2455,0.5039,231.00,140.00,0.0617,1535.23,13544.32,13631.05,420.33,6987101.50,0.16905059,-1.0995,3.9009,8.2062,-0.671494,0.202502,0.286954,-0.2499,4.4930,8.7170,-0.8496,-0.5921,-0.5108,-17.2752,11.9072,-23.8022,1,29
46,"","",SWIPE,659.00,937.00,720.00,608.00,1784892873270,58,0.4268,0.6772,279.00,156.00,0.0828,3077.51,14294.85,14622.38,337.77,3804237.25,0.03646548,-0.3314,4.6331,7.4118,-0.416152,0.162796,0.012981,-0.3074,4.7017,8.6044,-0.0240,-0.0686,-1.1926,-16.4822,11.5656,-22.1308,1,15
45,"","",SWIPE,742.00,1127.00,702.00,649.00,1784892872973,95,0.3805,0.6614,270.00,157.00,0.0776,354.12,14839.88,14844.10,496.78,7886061.00,0.07016156,-0.5994,4.3950,7.2245,-0.337656,-0.023824,0.172264,-0.3469,4.6237,8.6451,-0.2525,-0.2287,-1.4205,-16.7506,11.3948,-22.4968,1,25
44,"","",SWIPE,703.00,1107.00,663.00,681.00,1784892871990,63,0.4823,0.7087,306.00,149.00,0.0884,742.07,17067.54,17083.67,436.27,2793054.00,0.00763141,-1.4381,4.0917,7.1671,-0.218995,0.426995,0.386372,-0.6051,4.4540,8.7196,-0.8330,-0.3623,-1.5525,-16.6652,11.3826,-23.9974,1,16
43,"","",SWIPE,745.00,1128.00,672.00,789.00,1784892871523,85,0.3443,0.5984,263.00,147.00,0.0731,2591.72,12543.76,12808.71,350.88,5226302.00,0.00477671,-0.4875,4.8150,7.9633,-0.076969,0.009927,0.038026,-0.3735,4.3413,8.7892,-0.1140,0.4736,-0.8258,-17.6046,12.1024,-24.6440,1,22
42,"","",SWIPE,666.00,956.00,811.00,500.00,1784892870941,106,0.3636,0.5906,222.00,171.00,0.0758,4824.74,11986.77,12921.33,530.21,6945588.00,0.26074049,-1.4435,3.2967,8.6028,-0.497855,0.006567,-0.102320,-0.5225,4.5108,8.6957,-0.9209,-1.2141,-0.0930,-16.9336,10.1748,-22.6676,1,29
41,"","",SWIPE,717.00,1116.00,693.00,709.00,1784892870694,74,0.4311,0.7087,304.00,150.00,0.0826,346.57,15720.75,15724.57,479.59,16974246.00,0.02258742,-1.3220,4.4830,7.9585,-0.401491,0.112705,-0.055589,-0.4290,4.4469,8.7337,-0.8930,0.0361,-0.7752,-16.9580,11.5046,-23.5094,1,20
40,"","",SWIPE,691.00,1032.00,757.00,583.00,1784892870212,90,0.4619,0.7480,287.00,168.00,0.0853,3283.37,13795.30,14180.65,463.04,6969801.00,0.03534067,-1.3340,3.4720,7.9376,-0.004581,-0.317497,-0.004429,-0.3550,4.5052,8.7071,-0.9790,-1.0333,-0.7695,-16.7140,12.2000,-24.4122,1,24
39,"","",SWIPE,704.00,1100.00,705.00,674.00,1784892869949,90,0.4354,0.7244,294.00,159.00,0.0828,649.79,14126.20,14141.14,430.71,10862979.00,0.01474802,-1.2604,3.8477,6.9535,-0.382707,-0.056810,0.057116,-0.3736,4.3634,8.7782,-0.8868,-0.5158,-1.8247,-16.7872,11.1874,-22.2528,1,24
38,"","",SWIPE,648.00,957.00,768.00,554.00,1784892869506,101,0.5698,0.7795,287.00,179.00,0.0942,4285.41,9101.70,10060.10,429.22,2325715.00,0.05351038,-0.8142,3.4152,9.2441,-0.347124,0.025656,0.117286,-0.3534,4.2356,8.8414,-0.4607,-0.8205,0.4026,-17.2996,11.5046,-22.2894,1,27
37,"","",SWIPE,646.00,1075.00,642.00,714.00,1784892869253,85,0.3543,0.5827,260.00,144.00,0.0751,678.63,14197.01,14213.22,441.26,8445175.00,0.09095616,-1.0726,4.5057,7.1318,-0.473268,0.476322,0.183718,-0.5487,4.2556,8.8218,-0.5239,0.2501,-1.6900,-17.2386,10.8580,-22.2040,1,23
36,"","",SWIPE,637.00,846.00,784.00,534.00,1784892868856,74,0.4917,0.7087,253.00,180.00,0.0886,4015.64,8390.90,9302.28,348.33,2497568.25,0.00356340,-1.2293,3.4158,8.9755,-0.187230,-0.018021,0.039095,-0.2894,4.4701,8.7276,-0.9399,-1.0543,0.2479,-17.0556,10.7360,-22.0088,1,20
35,"","",SWIPE,589.00,1106.00,646.00,690.00,1784892868587,85,0.5390,0.6850,273.00,162.00,0.0929,3008.55,12187.32,12553.17,428.13,3642564.00,0.01460608,-1.2520,4.0164,8.9432,-1.129337,0.561538,0.217010,-0.4715,4.0749,8.9112,0.2317,0.6393,-0.8186,-16.7628,12.2854,-22.9238,1,22
34,"","",SWIPE,704.00,1071.00,727.00,631.00,1784892867692,101,0.4164,0.8031,324.00,158.00,0.0803,932.63,16120.41,16147.37,448.33,2997866.00,0.07256272,0.0837,4.9902,7.8670,-0.565967,0.292146,0.152564,-0.1276,4.8048,8.5518,0.2114,0.1854,-0.6848,-17.7144,10.1138,-21.5208,1,27
33,"","",SWIPE,685.00,1033.00,733.00,615.00,1784892867395,64,0.5049,0.7559,300.00,162.00,0.0894,2367.69,16118.07,16291.04,425.09,3826357.50,0.01638800,-0.8189,4.7593,8.9139,-0.329409,0.009927,0.093004,-0.3667,4.8757,8.5046,-0.4522,-0.1164,0.4092,-16.1772,10.5042,-22.7286,1,16
32,"","",SWIPE,679.00,1013.00,771.00,564.00,1784892866967,85,0.4331,0.7795,308.00,163.00,0.0823,3766.86,14039.26,14535.82,467.77,3023120.25,0.00725987,-0.6885,4.5918,8.7188,-0.128282,0.131947,-0.018937,-0.6954,4.7786,8.5392,0.0069,-0.1868,0.1797,-15.8966,10.1260,-24.5464,1,23
31,"","",SWIPE,678.00,1097.00,678.00,718.00,1784892866708,79,0.4038,0.7008,298.00,151.00,0.0808,27.16,13551.23,13551.26,382.93,5972642.00,0.13578336,-1.1976,4.1157,7.8873,-0.217926,0.107360,0.176540,-0.6436,4.7201,8.5757,-0.5540,-0.6045,-0.6883,-16.0674,9.7966,-22.7286,1,21
30,"","",SWIPE,651.00,966.00,728.00,592.00,1784892866292,84,0.4091,0.6457,247.00,168.00,0.0794,3052.96,13125.42,13475.80,388.56,3068155.75,0.25616309,-0.7615,4.1773,8.6608,-0.070402,-0.045357,-0.021075,-0.6154,4.7535,8.5593,-0.1461,-0.5763,0.1015,-16.4212,9.7600,-22.4968,1,23
29,"","",SWIPE,651.00,1051.00,667.00,701.00,1784892866038,69,0.4291,0.6457,276.00,150.00,0.0825,892.71,13745.17,13774.13,353.18,7314429.50,0.01307155,-1.3962,4.3633,7.4255,-0.040775,-0.153174,0.036499,-0.8710,4.8673,8.4727,-0.5252,-0.5040,-1.0472,-15.2378,9.5770,-24.6196,1,18
28,"","",SWIPE,620.00,920.00,796.00,510.00,1784892865597,68,0.6553,0.7480,267.00,180.00,0.1023,6283.22,9854.68,11687.33,464.56,3365544.75,0.02020548,-0.3990,4.6056,8.3204,0.049327,0.089492,0.111330,-0.7394,4.9218,8.4537,0.3404,-0.3163,-0.1332,-14.8230,9.7600,-21.4110,1,18
