method,gesture_index,point_index,x,y,time_offset_ms,pressure,touch_major,touch_minor,vx_px_s,vy_px_s,accel_px_s2,curvature
"test4",50,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",50,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",50,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",50,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",49,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",49,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",49,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",49,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",48,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",48,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",48,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",48,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",47,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",47,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",47,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",47,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",46,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",46,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",46,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",46,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",45,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",45,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",45,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",45,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",44,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",44,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",44,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",44,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
