method,gesture_index,point_index,x,y,time_offset_ms,pressure,touch_major,touch_minor,vx_px_s,vy_px_s,accel_px_s2,curvature
"test4",43,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",43,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",43,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",43,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",42,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",42,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",42,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",42,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",41,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",41,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",41,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",41,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",40,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",40,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",40,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",40,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",39,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",39,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",39,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",39,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",38,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",38,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",38,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",38,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",37,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",37,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",37,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",37,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",36,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",36,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",36,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",36,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",35,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",35,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",35,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",35,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",34,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",34,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",34,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",34,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",33,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",33,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",33,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",33,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",32,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",32,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",32,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",32,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",31,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",31,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",31,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",31,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",30,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",30,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",30,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",30,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",29,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",29,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",29,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",29,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",28,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",28,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",28,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",28,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",27,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",27,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",27,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",27,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",26,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",26,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",26,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",26,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",25,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",25,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",25,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",25,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",24,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",24,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",24,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",24,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",23,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",23,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",23,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",23,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",22,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",22,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",22,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",22,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",21,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",21,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",21,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",21,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",20,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",20,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",20,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",20,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",19,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",19,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",19,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",19,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",18,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",18,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",18,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",18,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",17,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",17,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",17,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",17,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",16,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",16,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",16,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",16,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",15,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",15,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",15,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",15,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",14,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",14,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",14,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",14,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",13,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",13,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",13,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",13,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",12,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",12,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",12,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",12,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",11,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",11,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",11,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",11,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",10,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",10,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",10,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",10,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",9,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",9,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",9,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",9,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",8,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",8,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",8,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",8,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",7,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",7,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",7,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",7,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",6,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",6,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",6,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",6,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",5,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",5,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",5,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",5,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",4,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",4,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",4,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",4,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",3,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",3,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",3,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",3,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",2,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",2,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",2,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",2,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",1,0,325.00,1131.00,0,1.0000,0.00,0.00,90.00,-3290.00,14512.5508,0.00130986
"test4",1,1,334.00,802.00,100,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",1,2,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
"test4",1,3,418.00,637.00,156,1.0000,0.00,0.00,1500.00,-2946.43,0.0000,0.00000000
