method,gesture_index,point_index,x,y,time_offset_ms,pressure,touch_major,touch_minor,vx_px_s,vy_px_s,accel_px_s2,curvature
"",54,0,675.00,1062.00,0,0.2283,147.00,100.00,0.00,0.00,0.0000,0.00000000
"",54,1,675.00,1062.00,11,0.2283,147.00,101.00,0.00,0.00,0.0000,0.00000000
"",54,2,675.00,1062.00,13,0.2283,147.00,101.00,0.00,0.00,0.0000,0.00000000
"",54,3,675.00,1062.00,17,0.2283,148.00,101.00,0.00,0.00,0.0000,0.00000000
"",54,4,675.00,1062.00,22,0.2283,150.00,101.00,0.00,0.00,0.0000,0.00000000
"",54,5,675.00,1062.00,24,0.2283,147.00,101.00,0.00,0.00,0.0000,0.00000000
"",54,6,675.00,1062.00,27,0.2362,151.00,102.00,0.00,0.00,0.0000,0.00000000
"",54,7,675.00,1062.00,33,0.2677,152.00,115.00,0.00,0.00,0.0000,0.00000000
"",54,8,675.00,1062.00,35,0.2283,147.00,101.00,0.00,0.00,282842.7188,0.00000000
"",54,9,675.00,1062.00,38,0.2756,153.00,116.00,-600.00,-600.00,28284.2715,0.00000000
"",54,10,672.00,1059.00,43,0.2756,154.00,117.00,-500.00,-500.00,1333333.3750,1.88561821
"",54,11,670.50,1057.50,46,0.2756,154.00,117.00,-500.00,-4500.00,105409.2500,0.00215476
"",54,12,669.00,1044.00,49,0.2913,158.00,120.00,-600.00,-4200.00,141421.3438,0.00000000
"",54,13,666.00,1023.00,54,0.3071,165.00,123.00,-500.00,-3500.00,916245.6875,0.00754247
"",54,14,664.50,1012.50,57,0.3071,165.00,123.00,-1166.67,-6166.67,768034.1875,0.00822523
"",54,15,661.00,994.00,60,0.3465,177.00,126.00,-600.00,-8400.00,280713.3750,0.00000000
"",54,16,658.00,952.00,65,0.3937,195.00,131.00,-500.00,-7000.00,3167763.2500,0.00626878
"",54,17,656.50,931.00,68,0.3937,195.00,131.00,-250.00,-16500.00,2833639.7500,0.00000464
"",54,18,656.00,898.00,70,0.4567,217.00,136.00,-166.67,-10833.33,902884.6250,0.00000000
"",54,19,655.00,833.00,76,0.5276,243.00,141.00,-250.00,-16250.00,2292045.2500,0.00382447
"",54,20,654.50,800.50,78,0.5276,243.00,141.00,1833.33,-12166.67,452428.1875,0.00082915
"",54,21,660.00,764.00,81,0.6063,267.00,147.00,2400.00,-13400.00,742455.2500,0.00195405
"",54,22,672.00,697.00,86,0.6850,290.00,153.00,3610.91,-9890.77,778272.1250,0.00000004
"",54,23,690.05,647.55,91,0.6850,290.00,153.00,4945.43,-13546.14,2876035.5000,0.00838885
"",54,24,695.00,634.00,92,0.7559,306.00,159.00,5800.00,-10800.00,493887.9063,0.00198083
"",54,25,724.00,580.00,97,0.8110,317.00,165.00,6178.98,-8359.81,0.0000,0.00000000
"",54,26,754.89,538.20,102,0.8110,317.00,165.00,6178.98,-8359.81,0.0000,0.00000000
"",54,27,758.00,534.00,102,0.8504,321.00,170.00,0.00,0.00,0.0000,0.00000000
"",54,28,758.00,534.00,106,0.8504,321.00,170.00,0.00,0.00,0.0000,0.00000000
"",53,0,668.00,1053.00,0,0.2441,149.00,106.00,0.00,0.00,97912.0859,0.00000000
"",53,1,668.00,1053.00,11,0.3307,167.00,129.00,-400.00,-1000.00,474334.0938,0.00600544
"",53,2,666.00,1048.00,16,0.3386,168.00,130.00,-1313.06,-3188.87,461393.0313,0.00000012
"",53,3,659.43,1032.06,21,0.3386,168.00,130.00,-434.69,-1055.66,3821746.7500,0.55088425
"",53,4,659.00,1031.00,22,0.3465,171.00,130.00,-1200.00,-4800.00,441814.4375,0.00277410
