method,gesture_index,point_index,x,y,time_offset_ms,pressure,touch_major,touch_minor,vx_px_s,vy_px_s,accel_px_s2,curvature
"test3",50,0,488.74,711.78,0,1.0000,0.00,0.00,-62.99,-259.84,2939.4292,0.00000000
"test3",50,1,480.74,678.78,127,1.0000,0.00,0.00,-150.94,-622.64,848.2963,0.00000000
"test3",50,2,472.74,645.78,180,1.0000,0.00,0.00,-140.35,-578.95,1690.6312,0.00000000
"test3",50,3,464.74,612.78,237,1.0000,0.00,0.00,-117.65,-485.29,1903.8428,0.00000000
"test3",50,4,456.74,579.78,305,1.0000,0.00,0.00,-148.15,-611.11,612.8765,0.00000000
"test3",50,5,448.74,546.78,359,1.0000,0.00,0.00,-140.35,-578.95,1559.8763,0.00000000
"test3",50,6,440.74,513.78,416,1.0000,0.00,0.00,-119.40,-492.54,111.2392,0.00000000
"test3",50,7,432.74,480.78,483,1.0000,0.00,0.00,-117.65,-485.29,3753.2913,0.00000000
"test3",50,8,424.74,447.78,551,1.0000,0.00,0.00,-177.78,-733.33,5988.6875,0.00000000
"test3",50,9,416.74,414.78,596,1.0000,0.00,0.00,-114.29,-471.43,1889.9364,0.00000000
"test3",50,10,408.74,381.78,666,1.0000,0.00,0.00,-145.45,-600.00,3410.1499,0.00000000
"test3",50,11,400.74,348.78,721,1.0000,0.00,0.00,-101.27,-417.72,4327.8867,0.00000000
"test3",50,12,392.74,315.78,800,1.0000,0.00,0.00,-181.82,-750.00,4000.1636,0.00000000
"test3",50,13,384.74,282.78,844,1.0000,0.00,0.00,-140.35,-578.95,1425.1599,0.00000000
"test3",50,14,376.74,249.78,901,1.0000,0.00,0.00,-121.21,-500.00,8642.4004,0.00680226
"test3",50,15,368.74,216.78,967,1.0000,0.00,0.00,-105.26,70.18,0.0000,0.00000000
"test3",50,16,362.74,220.78,1024,0.0000,0.00,0.00,-105.26,70.18,0.0000,0.00000000
"test3",49,0,720.74,713.73,0,1.0000,0.00,0.00,-88.71,-225.81,3206.9177,0.00235863
"test3",49,1,709.74,685.73,124,1.0000,0.00,0.00,-250.00,-589.29,1876.6932,0.00000000
"test3",49,2,695.74,652.73,180,1.0000,0.00,0.00,-208.96,-492.54,1568.5796,0.00000000
"test3",49,3,681.74,619.73,247,1.0000,0.00,0.00,-250.00,-589.29,2153.6235,0.00000000
"test3",49,4,667.74,586.73,303,1.0000,0.00,0.00,-202.90,-478.26,4277.9995,0.00000000
"test3",49,5,653.74,553.73,372,1.0000,0.00,0.00,-318.18,-750.00,3967.7058,0.00000000
"test3",49,6,639.74,520.73,416,1.0000,0.00,0.00,-250.00,-589.29,2017.1949,0.00000000
