gesture_index,method,target_element,gesture_type,start_x,start_y,end_x,end_y,timestamp_ms,duration_ms,avg_pressure,max_pressure,touch_major,touch_minor,avg_size,max_speed_x,max_speed_y,max_speed,total_distance,max_acceleration,avg_curvature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z,linear_x,linear_y,linear_z,mag_x,mag_y,mag_z,pointer_count,trajectory_points
66,"test5","",SWIPE,562.00,785.00,573.00,485.00,1784893693270,274,0.1553,0.2283,164.00,94.00,0.0503,10.99,500.95,501.07,305.65,2533116.00,0.00692311,-0.1699,0.0706,9.8859,-0.002138,-0.003665,-0.000153,-0.1821,0.0403,9.8082,0.0122,0.0303,0.0777,91.5976,24.9856,-27.9624,1,75
65,"test5","",SWIPE,293.00,554.00,522.00,506.00,1784893692194,248,0.1395,0.2835,186.00,99.00,0.0475,964.23,151.20,976.01,281.59,2254837.50,0.19510716,-0.1304,0.1184,9.6006,-0.003665,-0.020006,-0.000916,-0.1823,0.0398,9.8082,0.0519,0.0786,-0.2076,90.7192,24.5098,-29.8900,1,68
64,"test5","",SWIPE,498.00,623.00,336.00,593.00,1784893691044,227,0.1760,0.2835,189.00,99.00,0.0538,432.91,38.16,434.59,187.62,1071246.63,0.04212730,-0.4116,0.0042,9.3374,0.013286,0.027794,0.023976,-0.1821,0.0391,9.8082,-0.2295,-0.0349,-0.4708,94.7574,25.9616,-30.3780,1,54
63,"test5","",SWIPE,451.00,965.00,313.00,290.00,1784893689765,381,0.1461,0.2283,157.00,99.00,0.0486,169.41,467.92,497.64,698.45,2806110.75,0.09203301,-0.2022,-0.0150,9.5569,0.006109,0.010537,0.005651,-0.1759,0.0372,9.8084,-0.0263,-0.0521,-0.2514,93.7936,21.5696,-32.6228,1,105
62,"test5","",SWIPE,705.00,715.00,755.00,704.00,1784893688448,238,0.0915,0.1260,142.00,87.00,0.0414,696.11,27.22,696.65,92.70,950146.13,0.13274999,0.1723,-0.1639,9.3446,-0.015577,-0.036346,0.004581,-0.1883,0.0406,9.8081,0.3605,-0.2045,-0.4635,90.0360,28.0112,-27.8526,1,65
61,"test5","",SWIPE,323.00,848.00,327.00,367.00,1784893687312,323,0.1632,0.2441,162.00,100.00,0.0513,75.00,416.51,423.21,487.29,2594909.75,0.02628179,-0.2070,-0.0012,9.5145,-0.001527,-0.003054,0.002749,-0.1793,0.0359,9.8083,-0.0277,-0.0371,-0.2938,95.6846,24.1316,-34.0014,1,89
60,"test5","",SWIPE,440.00,823.00,449.00,340.00,1784893686093,327,0.1557,0.2205,162.00,90.00,0.0504,2.78,204.04,204.06,484.87,3283325.25,0.02101675,-0.1884,-0.0054,9.7143,0.006567,0.011148,-0.000458,-0.1813,0.0360,9.8083,-0.0072,-0.0413,-0.0940,92.5248,23.0580,-31.3174,1,91
59,"test5","",SWIPE,279.00,686.00,303.00,494.00,1784893684860,243,0.1519,0.2126,153.00,98.00,0.0496,30.71,41.76,51.84,195.81,994017.13,0.52901167,-0.1705,-0.0341,9.8381,0.017410,0.037415,-0.001222,-0.1764,0.0332,9.8084,0.0059,-0.0673,0.0297,95.9530,25.7420,-32.3178,1,66
58,"test5","",SWIPE,353.00,941.00,769.00,607.00,1784893683483,318,0.1796,0.2520,189.00,101.00,0.0545,1199.37,270.64,1229.53,581.85,2419450.50,0.17321859,-0.1430,-0.0299,9.2052,0.006720,0.018326,0.000611,-0.1799,0.0357,9.8083,0.0370,-0.0656,-0.6031,89.8652,27.3524,-28.3162,1,88
57,"test5","",SWIPE,402.00,650.00,687.00,385.00,1784893682158,275,0.1679,0.2756,193.00,98.00,0.0532,779.76,181.90,800.70,416.07,2706116.75,0.86798048,-0.2895,0.0042,9.7807,0.003207,0.005192,0.002291,-0.1856,0.0380,9.8082,-0.1040,-0.0338,-0.0275,89.6212,24.4610,-27.1938,1,76
56,"test5","",SWIPE,574.00,980.00,562.00,637.00,1784893680819,301,0.1361,0.2047,154.00,90.00,0.0474,7.71,425.62,425.69,347.94,1588720.75,0.08101920,-0.1986,0.0090,9.7573,-0.006567,-0.020311,-0.000153,-0.1840,0.0385,9.8082,-0.0146,-0.0295,-0.0509,92.9640,26.9742,-28.4260,1,78
55,"test5","",SWIPE,455.00,961.00,504.00,154.00,1784893679503,433,0.1679,0.2362,154.00,102.00,0.0519,5.66,456.10,456.14,810.17,1945615.13,0.02381000,-0.1842,0.0090,9.7669,0.000305,-0.000764,-0.000458,-0.1808,0.0369,9.8083,-0.0035,-0.0279,-0.0414,91.9392,21.9478,-30.8538,1,119
54,"test5","",SWIPE,543.00,916.00,779.00,398.00,1784893678238,349,0.1675,0.2520,174.00,96.00,0.0522,748.70,482.36,890.63,586.09,3116101.75,0.02517625,-0.2273,0.0473,9.7621,-0.005803,-0.010537,-0.000611,-0.1844,0.0390,9.8082,-0.0429,0.0083,-0.0461,88.9990,25.0100,-29.2190,1,96
53,"test5","",SWIPE,423.00,930.00,362.00,519.00,1784893676987,312,0.1644,0.2677,168.00,102.00,0.0514,91.33,409.09,419.16,424.69,1291910.13,0.05785310,-0.1938,0.0090,9.7669,0.018021,0.032070,0.003054,-0.1774,0.0359,9.8083,-0.0165,-0.0270,-0.0414,94.0742,25.2784,-34.3552,1,86
52,"test5","",SWIPE,338.00,717.00,288.00,156.00,1784893675783,365,0.1496,0.2362,153.00,100.00,0.0496,145.59,365.88,393.79,569.15,2478149.50,0.07261212,-0.1460,0.0138,9.7819,0.000764,-0.001069,0.003054,-0.1792,0.0345,9.8083,0.0332,-0.0207,-0.0264,95.1478,20.7522,-32.9278,1,98
51,"test5","",SWIPE,521.00,994.00,762.86,413.00,1784893674407,376,0.1668,0.2441,168.00,100.00,0.0518,77.86,355.85,364.27,637.71,2710346.50,0.02602022,-0.2136,0.0329,9.8291,-0.011148,-0.027642,0.000764,-0.1863,0.0372,9.8082,-0.0272,-0.0043,0.0210,89.9872,24.8514,-28.2552,1,104
50,"test5","",SWIPE,694.00,565.00,382.00,530.00,1784893673139,291,0.1314,0.2362,196.00,101.00,0.0490,664.48,5.69,664.51,336.23,2488281.25,0.08091512,-0.1364,0.0227,9.7436,0.011301,0.020006,0.012370,-0.1791,0.0353,9.8083,0.0427,-0.0125,-0.0647,96.0994,25.6688,-31.0734,1,81
