gesture_index,gesture_type,test_site,phone_status,test_method,start_x,start_y,end_x,end_y,duration_ms,avg_pressure,max_pressure,pressure_fluctuation_coeff,contact_area_mean,speed_mean_positive_px_s,speed_fluctuation_coeff,path_redundancy_rate,summary_avg_curvature,linear_accel_magnitude,gyro_magnitude,click_group_count,click_bbox_w,click_bbox_h,click_unique_xy_ratio_pct,click_dominant_xy_ratio_pct,click_space_pattern,method,target_element,test_tool,summary_touch_major,summary_touch_minor,summary_total_distance,trajectory_points_summary,pressure_mean_points,pressure_std_points,contact_area_median,contact_area_max,speed_std_positive_px_s,speed_positive_point_count,path_length_px,straight_distance_px,trajectory_curvature_mean,trajectory_curvature_max,click_group_key,click_x_std,click_y_std,click_bbox_area
66,SWIPE,,,,562.0,785.0,573.0,485.0,274.0,0.1553,0.2283,0.2649404406955985,8056.666720008585,2202.92122460338,0.6174174386183183,0.018145248808515646,0.00692311,0.08428653510496205,0.004245783555481838,,,,,,,test5,,,164.0,94.0,305.65,75.0,0.15528933333333333,0.04114242440865903,7669.413065576083,11905.850758941917,1360.121979972548,40,305.64883163508097,300.2015989297858,0.003692323333333333,0.13333333,,,,
65,SWIPE,,,,293.0,554.0,522.0,506.0,248.0,0.1395,0.2835,0.495679289768369,7218.398170245097,2219.4379676070484,0.6904613747652025,0.20347461230616237,0.19510716,0.22796782667736254,0.02035955100192536,,,,,,,test5,,,186.0,99.0,281.59,68.0,0.1395264705882353,0.0691603818450637,7209.955139988575,14462.321780800612,1532.4361903200497,36,281.58477106241384,233.97649454592653,0.10329202455882353,5.97319365,,,,
64,SWIPE,,,,498.0,623.0,336.0,593.0,227.0,0.176,0.2835,0.33340525214133204,9067.116363804442,1779.8368972664737,0.836741045469797,0.13870454955850597,0.0421273,0.5249198986512132,0.039036813497005614,,,,,,,test5,,,189.0,99.0,187.62,54.0,0.1759925925925926,0.058676854708340054,8694.357668809753,14250.264276683301,1489.2625861844688,30,187.60654226698003,164.75436261295178,0.02340405574074074,0.80569631,,,,
63,SWIPE,,,,451.0,965.0,313.0,290.0,381.0,0.1461,0.2283,0.34598977104941675,7570.325737285359,2668.97757400162,0.4289841644920811,0.013781077662650132,0.09203301,0.25808537347164795,0.013426915170656287,,,,,,,test5,,,157.0,99.0,698.45,105.0,0.14608285714285713,0.05054317429710179,7677.267047210057,11762.122895040186,1144.9491146311864,71,698.4569055721668,688.9622631175092,0.06223184266666666,4.0,,,,
62,SWIPE,,,,705.0,715.0,755.0,704.0,238.0,0.0915,0.126,0.35615777608564075,4804.945133178912,787.8914569387168,0.8424467628099749,0.810713503216888,0.13274999,0.6217819151438871,0.0398077907701495,,,,,,,test5,,,142.0,87.0,92.7,65.0,0.09145538461538462,0.03257254639567231,5369.767243148353,6559.645460695488,663.7566073436567,32,92.70075062861414,51.19570294468082,0.065353836,2.35364938,,,,
61,SWIPE,,,,323.0,848.0,327.0,367.0,323.0,0.1632,0.2441,0.3173542310467098,8478.496719653967,2575.623392804173,0.48815024692909353,0.013033607245291678,0.02628179,0.29742585630708035,0.004383565443791161,,,,,,,test5,,,162.0,100.0,487.29,89.0,0.16323932584269663,0.05180469072939229,8404.545746516094,12596.215744568275,1257.2911951937067,53,487.28601358550117,481.0166317290911,0.015650950674157303,0.73215181,,,,
60,SWIPE,,,,440.0,823.0,449.0,340.0,327.0,0.1557,0.2205,0.21827722486650092,8013.529660881793,2496.660685068827,0.5175247292482406,0.0037057984318471515,0.02101675,0.10292487551607726,0.012946550003765482,,,,,,,test5,,,162.0,90.0,484.87,91.0,0.15566373626373625,0.03397784836399925,7520.972812693964,11196.636217394022,1292.0836450649715,55,484.87405500476,483.08384365449444,0.01270243054945055,0.86460483,,,,
59,SWIPE,,,,279.0,686.0,303.0,494.0,243.0,0.1519,0.2126,0.21637923386334793,7845.1637545945205,1832.944722616372,0.6652987208046245,0.011935280833719197,0.52901167,0.07379830621362525,0.0412853921986942,,,,,,,test5,,,153.0,98.0,195.81,66.0,0.15187878787878786,0.03286341576130605,7415.729458798706,10926.4592491853,1219.4557792622595,30,195.8035934082797,193.49418595916518,0.24045983818181818,11.16099548,,,,
58,SWIPE,,,,353.0,941.0,769.0,607.0,318.0,0.1796,0.252,0.20164351893143007,9255.13195747553,2601.6232502860257,0.7050277461450466,0.0906526090823534,0.17321859,0.6077844766033433,0.019528799169431794,,,,,,,test5,,,189.0,101.0,581.85,88.0,0.17959431818181817,0.03621403029827273,8190.917446071988,12935.507751155972,1834.2165764677072,62,581.8526896353203,533.4903935405023,0.12204037602272728,9.04163647,,,,
57,SWIPE,,,,402.0,650.0,687.0,385.0,275.0,0.1679,0.2756,0.30328940678780897,8701.322910416724,2405.641236350889,0.7973153266622967,0.06913255787699413,0.86798048,0.11275943419510405,0.006518465616999141,,,,,,,test5,,,193.0,98.0,416.07,76.0,0.16794342105263158,0.05093546054496786,7927.809061333843,14024.069605624836,1918.0546281934003,47,416.06979987142046,389.1657744458009,0.525356617105263,38.03969193,,,,
