gesture_index,gesture_type,test_site,phone_status,test_method,predicted_tool,confidence,confidence_level,top_score,second_score,evidence,score_detail,start_x,start_y,end_x,end_y,duration_ms,avg_pressure,max_pressure,pressure_fluctuation_coeff,contact_area_mean,speed_mean_positive_px_s,speed_fluctuation_coeff,path_redundancy_rate,summary_avg_curvature,linear_accel_magnitude,gyro_magnitude,click_group_count,click_bbox_w,click_bbox_h,click_unique_xy_ratio_pct,click_dominant_xy_ratio_pct,click_space_pattern
40,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.057406968218152755,0.0009782724569362055,,,,,,
39,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.06203563492058415,0.0015646606660870593,,,,,,
38,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05292560816844716,0.0014401131899958418,,,,,,
37,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05776659934598886,0.0008226305367538941,,,,,,
36,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.0524371051832574,0.0011226829472295373,,,,,,
35,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.0628758300144022,0.0010241191336949037,,,,,,
34,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.057967577144469304,0.000763600026191723,,,,,,
33,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.06299142798825885,0.0013998678509059346,,,,,,
32,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.053028105755344494,0.0007159280690125231,,,,,,
31,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.058245085629604836,0.00026500377355803825,,,,,,
30,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.054012405982329655,0.0011116591204141672,,,,,,
29,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05726333905737597,0.001407770222728127,,,,,,
28,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.06254278535530697,0.001090678229360062,,,,,,
27,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05802654564938361,0.0011735229013530159,,,,,,
26,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05790621728277543,0.0004828799022531379,,,,,,
25,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05801353290396991,0.0005711374615624508,,,,,,
24,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05302357966037374,0.0008907637172673795,,,,,,
23,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05302886006694845,0.0004828799022531379,,,,,,
22,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05800396538168748,0.0007787772467143606,,,,,,
21,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05780899583974798,0.00034122426642898656,,,,,,
20,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.06400624969485402,0.0006655351230400992,,,,,,
19,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.058522559752628725,0.00184539562154027,,,,,,
18,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.049782426618235474,0.0009654434214390815,,,,,,
17,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05363058828690956,0.0015037277014140558,,,,,,
16,SWIPE,,,,自动化脚本-屏幕录制,0.99,高,7.0,2.5,接触面积接近 0 且平均压力接近 1，符合注入/非真实接触类基础特征；逐点压力波动接近 0，且压力恒定为 1；路径冗余率落在录制轨迹常见区间，且无真实接触,"{""HID"": 2.5, ""自动化脚本-代码开发"": 2.5, ""自动化脚本-屏幕录制"": 7.0, ""自动滑屏点赞器"": 2.5}",325.0,1131.0,418.0,637.0,156.0,1.0,1.0,0.0,0.0,3302.513417986528,0.0019724486764675594,0.023069522601184778,0.00032747,0.05372792569976995,0.0009774916879441995,,,,,,
